date,tournament,round,surface,winner,loser,wrank,lrank,odds_winner,odds_loser,pin_winner,pin_loser,max_winner,max_loser
2022-02-22,Chile Open,1st Round,Clay,Taberner C.,Cerundolo J.M.,108,79.0,1.61,2.3,1.57,2.55,1.64,2.55
2022-02-22,Chile Open,1st Round,Clay,Munar J.,Galan D.E.,93,104.0,1.72,2.1,1.69,2.28,1.77,2.38
2022-02-22,Dubai Tennis Championships,1st Round,Hard,Popyrin A.,Basilashvili N.,66,19.0,2.1,1.72,2.2,1.74,2.22,1.8
2022-02-22,Abierto Mexicano,1st Round,Hard,Kozlov S.,Dimitrov G.,130,33.0,3.75,1.28,3.72,1.31,3.8,1.33
2022-02-22,Abierto Mexicano,1st Round,Hard,Carreno Busta P.,Otte O.,17,82.0,1.36,3.2,1.37,3.31,1.4,3.56
2022-02-22,Chile Open,1st Round,Clay,Kecmanovic M.,Cecchinato M.,63,90.0,1.2,4.5,1.22,4.79,1.25,4.79
2022-02-22,Chile Open,1st Round,Clay,Baez S.,Varillas J.P.,78,117.0,1.53,2.5,1.54,2.62,1.57,2.68
2022-02-23,Chile Open,1st Round,Clay,Tabilo A.,Olivo R.,113,179.0,1.2,4.5,1.2,5.17,1.21,5.5
2022-02-23,Dubai Tennis Championships,2nd Round,Hard,Djokovic N.,Khachanov K.,1,26.0,1.12,6.0,1.13,7.38,1.15,7.38
2022-02-23,Dubai Tennis Championships,2nd Round,Hard,Vesely J.,Bautista Agut R.,123,15.0,5.0,1.16,5.45,1.19,5.45,1.2
2022-02-23,Dubai Tennis Championships,2nd Round,Hard,Shapovalov D.,Daniel T.,14,111.0,1.28,3.75,1.26,4.33,1.3,4.41
2022-02-23,Dubai Tennis Championships,2nd Round,Hard,Hurkacz H.,Molcan A.,11,69.0,1.22,4.33,1.31,3.83,1.31,4.4
2022-02-23,Dubai Tennis Championships,2nd Round,Hard,Sinner J.,Murray A.,10,89.0,1.3,3.5,1.33,3.65,1.35,3.68
2022-02-23,Chile Open,2nd Round,Clay,Bagnis F.,Dellien H.,74,98.0,1.72,2.1,1.73,2.24,1.75,2.25
