date,tournament,round,surface,match,wrank,lrank,prob_winner,odds_winner,odds_loser,pin_winner,pin_loser,edge,confidence,decision,reason,stake,result,leak_flag,invalidated,data_cutoff,bankroll_before,profit,bankroll_after
2024-01-05,Hong Kong Tennis Open,Quarterfinals,Hard,Ruusuvuori E. vs Kotov P.,69,67.0,0.5647,1.57,2.38,1.64,2.42,0.0,0.129,,no-bet baseline,0.0,,0,0,2024-01-04,1000000.0,0.0,1000000.0
2024-01-05,Hong Kong Tennis Open,Quarterfinals,Hard,Ofner S. vs Bautista Agut R.,43,57.0,0.5326,3.2,1.36,2.85,1.48,0.0,0.065,,no-bet baseline,0.0,,0,0,2024-01-04,1000000.0,0.0,1000000.0
2024-01-05,Hong Kong Tennis Open,Quarterfinals,Hard,Rublev A. vs Fils A.,5,36.0,0.7826,1.3,3.5,1.32,3.71,0.0,0.565,,no-bet baseline,0.0,,0,0,2024-01-04,1000000.0,0.0,1000000.0
2024-01-05,Hong Kong Tennis Open,Quarterfinals,Hard,Shang J. vs Tiafoe F.,183,16.0,0.2341,3.75,1.29,3.7,1.33,0.0,0.532,,no-bet baseline,0.0,,0,0,2024-01-04,1000000.0,0.0,1000000.0
2024-01-06,Brisbane International,Semifinals,Hard,Dimitrov G. vs Thompson J.,14,55.0,0.8463,1.22,4.33,1.26,4.34,0.0,0.693,,no-bet baseline,0.0,,0,0,2024-01-05,1000000.0,0.0,1000000.0
2024-01-06,Hong Kong Tennis Open,Semifinals,Hard,Ruusuvuori E. vs Ofner S.,69,43.0,0.5646,1.57,2.38,1.67,2.35,0.0,0.129,,no-bet baseline,0.0,,0,0,2024-01-05,1000000.0,0.0,1000000.0
2024-01-06,Hong Kong Tennis Open,Semifinals,Hard,Rublev A. vs Shang J.,5,183.0,0.8737,1.14,5.5,1.18,5.78,0.0,0.747,,no-bet baseline,0.0,,0,0,2024-01-05,1000000.0,0.0,1000000.0
2024-01-06,Brisbane International,Semifinals,Hard,Rune H. vs Safiullin R.,8,39.0,0.5724,1.57,2.38,1.63,2.43,0.0,0.145,,no-bet baseline,0.0,,0,0,2024-01-05,1000000.0,0.0,1000000.0
2024-01-07,ASB Classic,1st Round,Hard,Altmaier D. vs Giron M.,57,60.0,0.324,2.63,1.5,2.46,1.61,0.0,0.352,,no-bet baseline,0.0,,0,0,2024-01-06,1000000.0,0.0,1000000.0
2024-01-07,ASB Classic,1st Round,Hard,Daniel T. vs Vukic A.,74,63.0,0.519,1.73,2.1,1.74,2.21,0.0,0.038,,no-bet baseline,0.0,,0,0,2024-01-06,1000000.0,0.0,1000000.0
2024-01-07,Brisbane International,The Final,Hard,Dimitrov G. vs Rune H.,14,8.0,0.7098,1.91,1.91,2.03,1.88,0.0,0.42,,no-bet baseline,0.0,,0,0,2024-01-06,1000000.0,0.0,1000000.0
2024-01-07,Hong Kong Tennis Open,The Final,Hard,Rublev A. vs Ruusuvuori E.,5,69.0,0.7087,1.25,4.0,1.34,3.56,0.0,0.417,,no-bet baseline,0.0,,0,0,2024-01-06,1000000.0,0.0,1000000.0
2024-01-08,Adelaide International,1st Round,Hard,Arnaldi M. vs Zapata Miralles B.,41,77.0,0.8065,1.13,6.0,1.17,5.65,0.0,0.613,,no-bet baseline,0.0,,0,0,2024-01-07,1000000.0,0.0,1000000.0
2024-01-08,ASB Classic,1st Round,Hard,Van Assche L. vs Wolf J.J.,87,54.0,0.3829,2.3,1.62,2.21,1.74,0.0,0.234,,no-bet baseline,0.0,,0,0,2024-01-07,1000000.0,0.0,1000000.0
2024-01-08,ASB Classic,1st Round,Hard,Borges N. vs Michelsen A.,66,92.0,0.3782,2.75,1.44,2.74,1.51,0.0,0.244,,no-bet baseline,0.0,,0,0,2024-01-07,1000000.0,0.0,1000000.0
